bkwirebond_no,serial PRIMARY KEY,"primary key",,
module_name,TEXT,,fk_identifier,
bond_count,SMALLINT,,,
mbite_no,SMALLINT[],mouse-bite number,,
bond_count_for_mbite,SMALLINT[],number of bonds at this mbite_no; recorded by wbGUI only if fewer than 3,,
wedge_id,TEXT,,,
spool_batch,TEXT,,,
wb_bk_marked_done,BOOLEAN DEFAULT FALSE,"if marked TRUE, rebonding will not be attempted",,
temp_c,TEXT,,,
rel_hum,TEXT,,,
date_bond,DATE,,,
time_bond,TIME,,,
technician,TEXT,,,
comment,TEXT,,,
module_no,INT,,fk_mod_backwire,module_info
iteration,INT,,,
xml_gen_datetime,TIMESTAMP,,,
xml_upload_success,BOOLEAN,True if CMSR upload was successful,,
batch_no,INT,,,
