batch_no,serial PRIMARY KEY,primary key,,
batch_name,TEXT,name of the batch - YYYYMMDD-HHMMSS,,
log_timestamp,TIMESTAMP,,,
cycle_count,INT,total count of thermal cycles,,
description,TEXT,can include start/stop and iteration details,,
status_safety_alarm,TEXT,status,,
status_dry_air_pressure,TEXT,status,,
status_alcohol_content,TEXT,status,,
status_chiller_alarm,TEXT,status,,
module_names,TEXT[],named of modules in batch,,
station_names,TEXT[],location IDs from the mmts for module_names,,
other_electrical_startup_tests,TEXT,TBD,,
timestamp_utc,TIMESTAMPTZ,timestamp in UTC,,
