module_ass,serial PRIMARY KEY,"primary key",,
module_name,TEXT,primary key in module_info table,fk_identifier,
geometry,TEXT,,,
resolution,TEXT,,,
proto_name,TEXT,,,
hxb_name,TEXT,,,
pml_position,TEXT,1/2/3/4,,
hxb_position,TEXT,1/2/3/4,,
put_position,TEXT,1/2/3/4,,
region,TEXT,region = 1 by default if using CMU/UCSB LV code; not useful,,
ass_tray_id,TEXT,,,
hxb_tray_id,TEXT,,,
hxb_put_id,TEXT,,,
tape_batch,TEXT,n/a if manufactuing batch unknown,,
tape_pattern,TEXT,EDMS pattern version number; nullable; for MAC records,,
glue_batch,TEXT,,,
glue_pattern,TEXT,EDMS pattern version number; nullable; for MAC records,,
adhesive,TEXT,Hybrid / Transfer tape only / Epoxy only,,
ass_run_date,DATE,,,
ass_time_begin,TIME,,,
ass_time_end,TIME,,,
cure_date_end,DATE,same as module_inspect timestamp; populated by OGP GUI,,
cure_time_end,TIME,same as module_inspect timestamp; populated by OGP GUI,,
operator,TEXT,,,
rel_hum,TEXT,,,
temp_c,TEXT,,,
module_no,INT,,fk_mod_ass,module_info
pos_col,INT,int((position+1)/2) for position 1/2/3/4,,
pos_row,INT,1+((position+1)%2) for position 1/2/3/4,,
xml_gen_datetime,TIMESTAMP,,,
xml_upload_success,BOOLEAN,True if CMSR upload was successful,,
batch_no,INT,,,
comment,TEXT,,,
