module_row_no,serial PRIMARY KEY,primary key,,
module_no,INT,primary key in module_info table,fk_mod_insp,module_info
module_name,TEXT,,fk_identifier,
grade,TEXT,,,
flatness,REAL,,,
avg_thickness,REAL,"in millimeters (mm)",,
max_thickness,REAL,"in millimeters (mm)",,
x_offset_mu,REAL,"in micrometers (μm)",,
y_offset_mu,REAL,"in micrometers (μm)",,
ang_offset_deg,REAL,"in degrees",,
comment,TEXT,,,
vacuum_holddown,BOOLEAN DEFAULT true,"TRUE for constrained and FALSE for unconstrained",,
date_inspect,DATE,,,
time_inspect,TIME,,,
inspector,TEXT,,,
hexplot,BYTEA,,,
offsetplot,BYTEA,,,
x_points,REAL[],"in millimeters (mm)",,
y_points,REAL[],"in millimeters (mm)",,
z_points,REAL[],"in millimeters (mm)",,
weight_grams,REAL,,,
iteration,INT,,,
xml_gen_datetime,TIMESTAMP,,,
xml_upload_success,BOOLEAN,True if CMSR upload was successful,,
batch_no,INT,,,
