mod_qc_no,serial PRIMARY KEY,primary key,,
module_no,INT,primary key in module_info table,fk_mod_pedtest,module_info
module_name,TEXT,Module serial number (no dashes) i.e. 320MLF2W2CM0001,fk_identifier,
installation_module,SMALLINT,"Reject=0; OK=1; SPARE=2",,
installation_def,TEXT,String to describe how installation status is decided,,
final_grade,TEXT,"Overall grade (A, B, C) minimum of subset grades",,
final_grade_def,TEXT,String to describe how final grade is decided,,
final_grade_reason,TEXT,String to describe the deciding reason for the final grade,,
comments_all,TEXT,Collection of comments from all parts of module assembly,,
proto_flatness,REAL,Protomodule flatness from proto_inspect,,
proto_avg_thickness,REAL,Protomodule avg thickness from proto_inspect,,
proto_max_thickness,REAL,Protomodule max thickness from proto_inspect,,
proto_x_offset,REAL,Protomodule x offset in microns from proto_inspect,,
proto_y_offset,REAL,Protomodule y offset in microns from proto_inspect,,
proto_ang_offset,REAL,Protomodule angular offset in degrees from proto_inspect,,
proto_grade,TEXT,Protomodule assembly grade,,
proto_grade_def,TEXT,Definition of protomodule assembly grade criteria,,
module_flatness,REAL,Module flatness from module_inspect,,
module_avg_thickness,REAL,Module avg thickness from module_inspect,,
module_max_thickness,REAL,Module max thickness from module_inspect,,
module_x_offset,REAL,Module x offset in microns from module_inspect,,
module_y_offset,REAL,Module y offset in microns from module_inspect,,
module_ang_offset,REAL,Module angular offset in degrees from module_inspect,,
module_grade,TEXT,Module assembly grade,,
module_grade_def,TEXT,Module assembly grade criteria,,
module_weight,REAL,Weight of module from module_inspect,,
count_back_unbonded,SMALLINT,Count of number of missed bonds on module backside,,
front_pull_avg,REAL,Module front bond pulltest average,,
front_pull_std,REAL,Module front bond pulltest stdev,,
list_cells_unbonded,SMALLINT[],List of unbonded cells from pedestal tests,,
list_cells_grounded,SMALLINT[],List of grounded cells from wirebonding,,
count_bad_cells,SMALLINT,"Total number of bad cells (grounded, unbonded, dead, noisy)",,
list_noisy_cells,SMALLINT[],List of noisy cells from pedestal tests,,
list_dead_cells,SMALLINT[],List of dead cells from pedestal tests,,
list_highileak_cells,SMALLINT[],List of cells with estimated high leakage current,,
iv_grade,TEXT,IV test grade,,
iv_grade_def,TEXT,IV grade criteria,,
readout_grade,TEXT,"Readout test (pedestal tests, mostly) grade",,
readout_grade_def,TEXT,Readout grade criteria,,
i_ratio_ref_b_over_a,REAL,Ratio of currents at ref voltage B over ref voltage A; used for grading,,
ref_volt_a,REAL,Reference voltage A,,
ref_volt_b,REAL,Reference voltage B,,
i_at_ref_a,REAL,Current (Ampere) at reference voltage A; used for grading,,
i_at_half_v_dep,REAL,Current (Ampere) at half of depletion voltage; used to distinguish really broken IVs vs early breakdown,,
iteration,INT,,,
xml_gen_datetime,TIMESTAMP,,,
xml_upload_success,BOOLEAN,True if CMSR upload was successful,,
batch_no,INT,,,
module_corner_colorgrades,TEXT[],Color grades for module corners to classify ease of assembly on cassettes,,
proto_corner_colorgrades,TEXT[],Color grades for protomodule corners to classify ease of assembly on cassettes,,
corner_colorgrade_def,TEXT,Definition of colorgrade criteria. These are defined in the clock-wise direction from the lowest numbered cell on the module,,
grade_timestamp,TIMESTAMP,,,
thermal_cycle_count,INT,,,
